Filename = 119.out.txt, no_of_character_errs = 14, ground_truth_length = 89, output_length = 91, Percentage Character Errors = 15.7303370787%
Filename = 12.out.txt, no_of_character_errs = 19, ground_truth_length = 42, output_length = 39, Percentage Character Errors = 45.2380952381%
Filename = 120.out.txt, no_of_character_errs = 14, ground_truth_length = 64, output_length = 60, Percentage Character Errors = 21.875%
Filename = 121.out.txt, no_of_character_errs = 15, ground_truth_length = 41, output_length = 42, Percentage Character Errors = 36.5853658537%
Filename = 122.out.txt, no_of_character_errs = 51, ground_truth_length = 92, output_length = 86, Percentage Character Errors = 55.4347826087%
Filename = 123.out.txt, no_of_character_errs = 1, ground_truth_length = 28, output_length = 28, Percentage Character Errors = 3.57142857143%
Filename = 124.out.txt, no_of_character_errs = 21, ground_truth_length = 38, output_length = 36, Percentage Character Errors = 55.2631578947%
Filename = 125.out.txt, no_of_character_errs = 9, ground_truth_length = 39, output_length = 41, Percentage Character Errors = 23.0769230769%
Filename = 126.out.txt, no_of_character_errs = 16, ground_truth_length = 42, output_length = 39, Percentage Character Errors = 38.0952380952%
Filename = 127.out.txt, no_of_character_errs = 33, ground_truth_length = 81, output_length = 78, Percentage Character Errors = 40.7407407407%
Filename = 128.out.txt, no_of_character_errs = 16, ground_truth_length = 38, output_length = 31, Percentage Character Errors = 42.1052631579%
Filename = 129.out.txt, no_of_character_errs = 16, ground_truth_length = 76, output_length = 80, Percentage Character Errors = 21.0526315789%
Filename = 13.out.txt, no_of_character_errs = 5, ground_truth_length = 37, output_length = 39, Percentage Character Errors = 13.5135135135%
Filename = 130.out.txt, no_of_character_errs = 11, ground_truth_length = 40, output_length = 41, Percentage Character Errors = 27.5%
Filename = 131.out.txt, no_of_character_errs = 9, ground_truth_length = 14, output_length = 13, Percentage Character Errors = 64.2857142857%
Filename = 132.out.txt, no_of_character_errs = 16, ground_truth_length = 34, output_length = 35, Percentage Character Errors = 47.0588235294%
Filename = 133.out.txt, no_of_character_errs = 8, ground_truth_length = 40, output_length = 40, Percentage Character Errors = 20.0%
Filename = 134.out.txt, no_of_character_errs = 18, ground_truth_length = 34, output_length = 27, Percentage Character Errors = 52.9411764706%
Filename = 135.out.txt, no_of_character_errs = 22, ground_truth_length = 52, output_length = 50, Percentage Character Errors = 42.3076923077%
Filename = 136.out.txt, no_of_character_errs = 78, ground_truth_length = 78, output_length = 50, Percentage Character Errors = 100.0%
Filename = 137.out.txt, no_of_character_errs = 7, ground_truth_length = 22, output_length = 23, Percentage Character Errors = 31.8181818182%
Filename = 138.out.txt, no_of_character_errs = 12, ground_truth_length = 23, output_length = 26, Percentage Character Errors = 52.1739130435%
Filename = 139.out.txt, no_of_character_errs = 17, ground_truth_length = 89, output_length = 83, Percentage Character Errors = 19.1011235955%
Filename = 14.out.txt, no_of_character_errs = 8, ground_truth_length = 40, output_length = 34, Percentage Character Errors = 20.0%
Filename = 140.out.txt, no_of_character_errs = 13, ground_truth_length = 82, output_length = 82, Percentage Character Errors = 15.8536585366%
Filename = 141.out.txt, no_of_character_errs = 6, ground_truth_length = 36, output_length = 38, Percentage Character Errors = 16.6666666667%
Filename = 142.out.txt, no_of_character_errs = 13, ground_truth_length = 63, output_length = 65, Percentage Character Errors = 20.6349206349%
Filename = 143.out.txt, no_of_character_errs = 14, ground_truth_length = 26, output_length = 25, Percentage Character Errors = 53.8461538462%
Filename = 144.out.txt, no_of_character_errs = 20, ground_truth_length = 41, output_length = 35, Percentage Character Errors = 48.7804878049%
Filename = 145.out.txt, no_of_character_errs = 3, ground_truth_length = 33, output_length = 33, Percentage Character Errors = 9.09090909091%
Filename = 146.out.txt, no_of_character_errs = 10, ground_truth_length = 41, output_length = 45, Percentage Character Errors = 24.3902439024%
Filename = 147.out.txt, no_of_character_errs = 30, ground_truth_length = 30, output_length = 45, Percentage Character Errors = 100.0%
Filename = 148.out.txt, no_of_character_errs = 17, ground_truth_length = 40, output_length = 34, Percentage Character Errors = 42.5%
Filename = 149.out.txt, no_of_character_errs = 7, ground_truth_length = 38, output_length = 34, Percentage Character Errors = 18.4210526316%
Filename = 15.out.txt, no_of_character_errs = 4, ground_truth_length = 14, output_length = 13, Percentage Character Errors = 28.5714285714%
Filename = 150.out.txt, no_of_character_errs = 17, ground_truth_length = 37, output_length = 38, Percentage Character Errors = 45.9459459459%
Filename = 151.out.txt, no_of_character_errs = 8, ground_truth_length = 18, output_length = 14, Percentage Character Errors = 44.4444444444%
Filename = 152.out.txt, no_of_character_errs = 28, ground_truth_length = 76, output_length = 75, Percentage Character Errors = 36.8421052632%
Filename = 153.out.txt, no_of_character_errs = 33, ground_truth_length = 74, output_length = 56, Percentage Character Errors = 44.5945945946%
Filename = 154.out.txt, no_of_character_errs = 23, ground_truth_length = 108, output_length = 108, Percentage Character Errors = 21.2962962963%
Filename = 155.out.txt, no_of_character_errs = 17, ground_truth_length = 37, output_length = 33, Percentage Character Errors = 45.9459459459%
Filename = 156.out.txt, no_of_character_errs = 8, ground_truth_length = 11, output_length = 15, Percentage Character Errors = 72.7272727273%
Filename = 157.out.txt, no_of_character_errs = 7, ground_truth_length = 36, output_length = 33, Percentage Character Errors = 19.4444444444%
Filename = 158.out.txt, no_of_character_errs = 16, ground_truth_length = 36, output_length = 32, Percentage Character Errors = 44.4444444444%
Filename = 159.out.txt, no_of_character_errs = 6, ground_truth_length = 20, output_length = 20, Percentage Character Errors = 30.0%
Filename = 16.out.txt, no_of_character_errs = 16, ground_truth_length = 41, output_length = 45, Percentage Character Errors = 39.0243902439%
Filename = 160.out.txt, no_of_character_errs = 15, ground_truth_length = 40, output_length = 36, Percentage Character Errors = 37.5%
Filename = 161.out.txt, no_of_character_errs = 19, ground_truth_length = 41, output_length = 33, Percentage Character Errors = 46.3414634146%
Filename = 162.out.txt, no_of_character_errs = 8, ground_truth_length = 20, output_length = 22, Percentage Character Errors = 40.0%
Filename = 163.out.txt, no_of_character_errs = 24, ground_truth_length = 59, output_length = 52, Percentage Character Errors = 40.6779661017%
Filename = 164.out.txt, no_of_character_errs = 27, ground_truth_length = 61, output_length = 51, Percentage Character Errors = 44.262295082%
Filename = 165.out.txt, no_of_character_errs = 11, ground_truth_length = 77, output_length = 82, Percentage Character Errors = 14.2857142857%
Filename = 166.out.txt, no_of_character_errs = 19, ground_truth_length = 40, output_length = 33, Percentage Character Errors = 47.5%
Filename = 167.out.txt, no_of_character_errs = 15, ground_truth_length = 34, output_length = 37, Percentage Character Errors = 44.1176470588%
Filename = 168.out.txt, no_of_character_errs = 6, ground_truth_length = 40, output_length = 40, Percentage Character Errors = 15.0%
Filename = 169.out.txt, no_of_character_errs = 14, ground_truth_length = 78, output_length = 84, Percentage Character Errors = 17.9487179487%
Filename = 17.out.txt, no_of_character_errs = 7, ground_truth_length = 77, output_length = 76, Percentage Character Errors = 9.09090909091%
Filename = 170.out.txt, no_of_character_errs = 17, ground_truth_length = 39, output_length = 34, Percentage Character Errors = 43.5897435897%
Filename = 171.out.txt, no_of_character_errs = 8, ground_truth_length = 33, output_length = 36, Percentage Character Errors = 24.2424242424%
Filename = 172.out.txt, no_of_character_errs = 13, ground_truth_length = 88, output_length = 90, Percentage Character Errors = 14.7727272727%
Filename = 173.out.txt, no_of_character_errs = 28, ground_truth_length = 65, output_length = 48, Percentage Character Errors = 43.0769230769%
Filename = 174.out.txt, no_of_character_errs = 7, ground_truth_length = 31, output_length = 31, Percentage Character Errors = 22.5806451613%
Filename = 175.out.txt, no_of_character_errs = 3, ground_truth_length = 32, output_length = 33, Percentage Character Errors = 9.375%
Filename = 176.out.txt, no_of_character_errs = 11, ground_truth_length = 36, output_length = 40, Percentage Character Errors = 30.5555555556%
Filename = 177.out.txt, no_of_character_errs = 28, ground_truth_length = 67, output_length = 59, Percentage Character Errors = 41.7910447761%
Filename = 178.out.txt, no_of_character_errs = 36, ground_truth_length = 92, output_length = 80, Percentage Character Errors = 39.1304347826%
Filename = 179.out.txt, no_of_character_errs = 9, ground_truth_length = 55, output_length = 53, Percentage Character Errors = 16.3636363636%
Filename = 18.out.txt, no_of_character_errs = 38, ground_truth_length = 76, output_length = 69, Percentage Character Errors = 50.0%
Filename = 180.out.txt, no_of_character_errs = 8, ground_truth_length = 56, output_length = 55, Percentage Character Errors = 14.2857142857%
Filename = 181.out.txt, no_of_character_errs = 11, ground_truth_length = 15, output_length = 14, Percentage Character Errors = 73.3333333333%
Filename = 182.out.txt, no_of_character_errs = 2, ground_truth_length = 41, output_length = 41, Percentage Character Errors = 4.87804878049%
Filename = 183.out.txt, no_of_character_errs = 16, ground_truth_length = 103, output_length = 104, Percentage Character Errors = 15.5339805825%
Filename = 184.out.txt, no_of_character_errs = 22, ground_truth_length = 37, output_length = 41, Percentage Character Errors = 59.4594594595%
Filename = 185.out.txt, no_of_character_errs = 21, ground_truth_length = 19, output_length = 28, Percentage Character Errors = 110.526315789%
Filename = 186.out.txt, no_of_character_errs = 43, ground_truth_length = 90, output_length = 74, Percentage Character Errors = 47.7777777778%
Filename = 187.out.txt, no_of_character_errs = 30, ground_truth_length = 68, output_length = 67, Percentage Character Errors = 44.1176470588%
Filename = 188.out.txt, no_of_character_errs = 17, ground_truth_length = 41, output_length = 38, Percentage Character Errors = 41.4634146341%
Filename = 189.out.txt, no_of_character_errs = 21, ground_truth_length = 40, output_length = 36, Percentage Character Errors = 52.5%
Filename = 19.out.txt, no_of_character_errs = 29, ground_truth_length = 78, output_length = 76, Percentage Character Errors = 37.1794871795%
Filename = 190.out.txt, no_of_character_errs = 18, ground_truth_length = 41, output_length = 36, Percentage Character Errors = 43.9024390244%
Filename = 191.out.txt, no_of_character_errs = 12, ground_truth_length = 38, output_length = 38, Percentage Character Errors = 31.5789473684%
Filename = 192.out.txt, no_of_character_errs = 16, ground_truth_length = 40, output_length = 29, Percentage Character Errors = 40.0%
Filename = 193.out.txt, no_of_character_errs = 8, ground_truth_length = 78, output_length = 76, Percentage Character Errors = 10.2564102564%
Filename = 194.out.txt, no_of_character_errs = 14, ground_truth_length = 29, output_length = 25, Percentage Character Errors = 48.275862069%
Filename = 195.out.txt, no_of_character_errs = 9, ground_truth_length = 84, output_length = 83, Percentage Character Errors = 10.7142857143%
Filename = 196.out.txt, no_of_character_errs = 20, ground_truth_length = 40, output_length = 36, Percentage Character Errors = 50.0%
Filename = 197.out.txt, no_of_character_errs = 22, ground_truth_length = 40, output_length = 41, Percentage Character Errors = 55.0%
Filename = 198.out.txt, no_of_character_errs = 28, ground_truth_length = 73, output_length = 73, Percentage Character Errors = 38.3561643836%
Filename = 199.out.txt, no_of_character_errs = 24, ground_truth_length = 39, output_length = 39, Percentage Character Errors = 61.5384615385%
Filename = 2.out.txt, no_of_character_errs = 13, ground_truth_length = 61, output_length = 59, Percentage Character Errors = 21.3114754098%
Filename = 20.out.txt, no_of_character_errs = 16, ground_truth_length = 39, output_length = 35, Percentage Character Errors = 41.0256410256%
Filename = 200.out.txt, no_of_character_errs = 21, ground_truth_length = 40, output_length = 31, Percentage Character Errors = 52.5%
Filename = 201.out.txt, no_of_character_errs = 6, ground_truth_length = 40, output_length = 41, Percentage Character Errors = 15.0%
Filename = 202.out.txt, no_of_character_errs = 26, ground_truth_length = 96, output_length = 86, Percentage Character Errors = 27.0833333333%
Filename = 203.out.txt, no_of_character_errs = 21, ground_truth_length = 41, output_length = 39, Percentage Character Errors = 51.2195121951%
Filename = 204.out.txt, no_of_character_errs = 8, ground_truth_length = 55, output_length = 59, Percentage Character Errors = 14.5454545455%
Filename = 205.out.txt, no_of_character_errs = 21, ground_truth_length = 39, output_length = 33, Percentage Character Errors = 53.8461538462%
Filename = 206.out.txt, no_of_character_errs = 44, ground_truth_length = 81, output_length = 60, Percentage Character Errors = 54.3209876543%
Filename = 207.out.txt, no_of_character_errs = 15, ground_truth_length = 51, output_length = 48, Percentage Character Errors = 29.4117647059%
Filename = 208.out.txt, no_of_character_errs = 13, ground_truth_length = 41, output_length = 40, Percentage Character Errors = 31.7073170732%
Filename = 209.out.txt, no_of_character_errs = 4, ground_truth_length = 17, output_length = 17, Percentage Character Errors = 23.5294117647%
Filename = 21.out.txt, no_of_character_errs = 14, ground_truth_length = 34, output_length = 34, Percentage Character Errors = 41.1764705882%
Filename = 210.out.txt, no_of_character_errs = 11, ground_truth_length = 38, output_length = 36, Percentage Character Errors = 28.9473684211%
Filename = 211.out.txt, no_of_character_errs = 5, ground_truth_length = 35, output_length = 38, Percentage Character Errors = 14.2857142857%
Filename = 212.out.txt, no_of_character_errs = 17, ground_truth_length = 37, output_length = 31, Percentage Character Errors = 45.9459459459%
Filename = 213.out.txt, no_of_character_errs = 7, ground_truth_length = 12, output_length = 11, Percentage Character Errors = 58.3333333333%
Filename = 214.out.txt, no_of_character_errs = 13, ground_truth_length = 36, output_length = 37, Percentage Character Errors = 36.1111111111%
Filename = 215.out.txt, no_of_character_errs = 36, ground_truth_length = 77, output_length = 64, Percentage Character Errors = 46.7532467532%
Filename = 216.out.txt, no_of_character_errs = 18, ground_truth_length = 38, output_length = 35, Percentage Character Errors = 47.3684210526%
Filename = 217.out.txt, no_of_character_errs = 7, ground_truth_length = 17, output_length = 19, Percentage Character Errors = 41.1764705882%
Filename = 218.out.txt, no_of_character_errs = 15, ground_truth_length = 42, output_length = 38, Percentage Character Errors = 35.7142857143%
Filename = 219.out.txt, no_of_character_errs = 16, ground_truth_length = 70, output_length = 70, Percentage Character Errors = 22.8571428571%
Filename = 22.out.txt, no_of_character_errs = 5, ground_truth_length = 40, output_length = 42, Percentage Character Errors = 12.5%
Filename = 220.out.txt, no_of_character_errs = 9, ground_truth_length = 27, output_length = 24, Percentage Character Errors = 33.3333333333%
Filename = 221.out.txt, no_of_character_errs = 17, ground_truth_length = 40, output_length = 33, Percentage Character Errors = 42.5%
Filename = 222.out.txt, no_of_character_errs = 6, ground_truth_length = 28, output_length = 29, Percentage Character Errors = 21.4285714286%
Filename = 223.out.txt, no_of_character_errs = 10, ground_truth_length = 72, output_length = 73, Percentage Character Errors = 13.8888888889%
Filename = 224.out.txt, no_of_character_errs = 19, ground_truth_length = 37, output_length = 40, Percentage Character Errors = 51.3513513514%
Filename = 225.out.txt, no_of_character_errs = 19, ground_truth_length = 38, output_length = 33, Percentage Character Errors = 50.0%
Filename = 226.out.txt, no_of_character_errs = 16, ground_truth_length = 40, output_length = 30, Percentage Character Errors = 40.0%
Filename = 227.out.txt, no_of_character_errs = 4, ground_truth_length = 13, output_length = 11, Percentage Character Errors = 30.7692307692%
Filename = 228.out.txt, no_of_character_errs = 4, ground_truth_length = 53, output_length = 55, Percentage Character Errors = 7.54716981132%
Filename = 229.out.txt, no_of_character_errs = 9, ground_truth_length = 39, output_length = 40, Percentage Character Errors = 23.0769230769%
Filename = 23.out.txt, no_of_character_errs = 8, ground_truth_length = 61, output_length = 64, Percentage Character Errors = 13.1147540984%
Filename = 230.out.txt, no_of_character_errs = 9, ground_truth_length = 38, output_length = 41, Percentage Character Errors = 23.6842105263%
Filename = 231.out.txt, no_of_character_errs = 11, ground_truth_length = 44, output_length = 41, Percentage Character Errors = 25.0%
Filename = 232.out.txt, no_of_character_errs = 26, ground_truth_length = 65, output_length = 58, Percentage Character Errors = 40.0%
Filename = 233.out.txt, no_of_character_errs = 3, ground_truth_length = 40, output_length = 39, Percentage Character Errors = 7.5%
Filename = 234.out.txt, no_of_character_errs = 11, ground_truth_length = 41, output_length = 43, Percentage Character Errors = 26.8292682927%
Filename = 235.out.txt, no_of_character_errs = 7, ground_truth_length = 12, output_length = 11, Percentage Character Errors = 58.3333333333%
Filename = 236.out.txt, no_of_character_errs = 18, ground_truth_length = 40, output_length = 34, Percentage Character Errors = 45.0%
